context,current_text,corrected_text,help_text,additional_notes
"CHARACTER SHEET stat label | frontend/src/components/adventurers/AdventurerDetail.vue:76 | Value shown is the class+level THAC0 from classes.json (19 at L1-3, then 17, 14, 12). NUANCE: THAC0 = 'To Hit Armor Class 0' (Basic D&D). In the sim the adventurer hits when a d20 roll >= THAC0 - target AC (plus the ATK bonus). Lower is better, the opposite of every other number on the sheet. Options: (a) plain label + tooltip, (b) show 'hits on 15+' vs a typical monster, (c) fold THAC0 and ATK into one 'to hit' number.",THAC0,"Wrap THAC0 and To-hit bonuses into a single number: THAC0 19 = +1. Additional to-hit bonuses (like from a level one fighter) get added to this base to-hit bonus, similar to d20 D&D.",,
"CHARACTER SHEET stat label | AdventurerDetail.vue:80 | Value is get_combat_hd(): ceil(level * num/den) = number of ATTACKS PER ROUND, and also the adventurer's weight when monsters pick targets. Fighter/Dwarf/Elf/Halfling = 1 per level; Cleric = 1 per 2 levels; Magic-User = 1 per 3. NOTE this is NOT the hit-point die (hit_die: d8/d6/d4). The same abbreviation means two things in D&D, so 'HD' is doubly confusing here.",HD,HD,"Hit Dice: Determines attacks per round, and how likely the adventurer is to be attacked.",
"CHARACTER SHEET stat label | AdventurerDetail.vue:84 | Value is the flat class to-hit bonus: +1 for Fighter/Dwarf/Elf/Halfling, +0 for Cleric/Magic-User. Always adds to the THAC0 roll. NUANCE: two adjacent stats (THAC0, ATK) both describe hitting; a reader cannot tell how they combine.",ATK,TO-HIT,To-Hit: Bonus added to the roll of a 20-sided die to determine whether an attack hits.,
"CHARACTER SHEET stat label | AdventurerDetail.vue:92 | Value = 1cp per XP, collected every 30 days. Probably fine; included only because it sits in the same row as the three jargon labels.",UPKEEP,,Upkeep: Amount of money the adventurer must pay to the keep every 30 days.,
CHARACTER SHEET level badge | AdventurerDetail.vue:61,LV,LVL,Level: A measure of the adventurer’s power relative to other adventurers of the same class.,
"CLASS ABILITY - Fighter | app/data/classes.json abilities:{} | Fighters have NO ability entry, so the sheet's ability block is hidden entirely. Fighter facts: d8 HP die, +1 ATK, 1 attack per level. DECIDE: show a line anyway (their role) or leave blank.",(nothing shown),,,
"CLASS ABILITY - Cleric, ability 1 of 2 (turn_undead) | classes.json | Shown on the sheet as the Cleric's ONLY ability (routes/adventurers.py:58 takes the first ability). Mechanics: each combat round vs undead, roll 2d6 vs a table keyed by cleric level and undead HD; 'T' = auto-turn (they flee), 'D' = destroy. Replaces the Cleric's attacks that round.",Attempt to turn or destroy undead. Replaces attacks for the round unless turning is impossible.,Turn Undead: May forego attacking to attempt to repel undead enemies.,,
"CLASS ABILITY - Cleric, ability 2 of 2 (prevent_death) | classes.json | NOT SHOWN on the sheet at all (only the first ability is). This is the ability the audit is complaining about: from level 2 the Cleric has (level - 1) cures per expedition; each triggers automatically when an ally would die and restores 1d6+2 HP. The player has no way to see the cure count on the sheet. DECIDE: show both abilities, and put the number in the text ('N cures per expedition').","Automatically heal an adventurer who would die, restoring 1d6+2 HP.","Cure Light Wounds: May automatically cure a fellow adventurer when they hit 0 HP, preventing them from dying and restoring 3-8 HP.",,
"CLASS ABILITY - Magic-User (sleep_spell) | classes.json | INACCURATE vs the sim (app/expedition.py:365-380): base spells insta-kill a monster group with HD <= caster level + 3 (not 'at or below caster level'); scrolls kill any HD. Uses per expedition = level (doubled by a Tier III Library Artifact) + scrolls carried. Fires only when the party wins initiative. Spell name by level: Sleep (1-3), Fireball (4-6), Lightning Bolt (7+). The audit: 'a magic-user doesn't say how many spells they have'. The count must appear in this text.",Instantly kills a group of monsters with HD at or below caster level.,Sleep: May forego attacking to automatically dispatch a group of monsters of similar level to the caster.,,
"CLASS ABILITY - Elf (sleep_spell) | classes.json | Identical text to the Magic-User, same inaccuracy. Elf differences worth stating: also a full fighter (1 attack per level, +1 ATK, d6 HP) AND casts; xp_multiplier 2.0 so Elves level at half speed. DECIDE whether the Elf's line mentions the trade-off.",Instantly kills a group of monsters with HD at or below caster level.,Sleep: May forego attacking to automatically dispatch a group of monsters of similar level to the caster.,,
"CLASS ABILITY - Dwarf (stair_bonus) | classes.json | Actual rule (v0.8.1): stairs discovery chance is 1.5% per turn at the frontier level, +1% per Dwarf in the party. 'Earlier' is vague; a number reads better. Dwarves can now also be assigned to the Training Grounds (changed today).",Each Dwarf in the party finds stairs earlier in the expedition.,Find Stairs: Increase the chance of finding stairs to lower levels while exploring.,,
